Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Extra,Stav,Zdroj,Spárováno,Odkaz na auto
BAIC X35 1.5,399990,,2026,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,ALL IN T 6MT,Nové,Sauto.cz,Ne,
BAIC X35 1.5,389900,4500,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,T 6MT 4x2 ALL IN,Předváděcí,Sauto.cz,Ne,
BAIC X35 1.5,394900,,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,T 6MT 4x2 ALL IN,Nové,Sauto.cz,Ne,
BAIC X35 1.5,394900,,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,T 6MT 4x2 ALL IN,Nové,Sauto.cz,Ne,
BAIC X35 1.5,399900,,2024,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,T 6MT 4x2,Nové,Sauto.cz,Ne,
BAIC X35 1.5,399900,,2026,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,ALL IN T 4×2 6MT MY26,Nové,Sauto.cz,Ne,
BAIC X35 1.5,419900,,2026,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,T 6MT 4x2 ALL IN,Nové,Sauto.cz,Ne,
BAIC X35 1.5,419900,,2026,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,T 6MT 4x2 ALL IN,Nové,Sauto.cz,Ne,
BAIC X35 1.5,419900,,2026,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,T 6MT 4x2 ALL IN,Nové,Sauto.cz,Ne,
BAIC X35 1.5,399900,,2026,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,ALL IN T 4×2 6MT MY26,Nové,Sauto.cz,Ne,
BAIC X35 1.5,429000,12,2026,Benzín,1.5,,,100,Automatická,,,,Ne,SUV,,,210T NOVÉ,Ojeté,Sauto.cz,Ne,
BAIC X35 1.5,399990,,2026,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,ALL IN T 6MT,Nové,Sauto.cz,Ne,
BAIC X35 1.5,399900,,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,ALL IN T 4×2 6MT MY25,Nové,Sauto.cz,Ne,
BAIC X35 1.5,399900,,2026,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,T 6MT 4x2 ALL IN,Nové,Sauto.cz,Ne,
BAIC X35 1.5,399900,,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,T 6MT,Nové,Sauto.cz,Ne,
BAIC X35 1.5,399900,8,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ne,
BAIC X35 1.5,399900,8,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ne,
BAIC X35 1.5,399900,8,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ne,
BAIC X35 1.5,399900,8,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ne,
