Typ,Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Tepelné čerpadlo,Spárováno,Skóre shody,Extra,Stav,Zdroj,Odkaz na auto
Spalovací,BAIC X35 1.5,399900,4,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209805588
Spalovací,BAIC X35 1.5,399900,4,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209805591
Spalovací,BAIC X35 1.5,399900,4,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209805594
Spalovací,BAIC X35 1.5,399900,4,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209805597
Spalovací,BAIC X35 1.5,399900,4,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209805600
Spalovací,BAIC X35 1.5,399900,4,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209897325
Spalovací,BAIC X35 1.5,399900,4,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209897337
Spalovací,BAIC X35 1.5,399900,4,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209897355
Spalovací,BAIC X35 1.5,399900,4,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209897370
Spalovací,BAIC X35 1.5,399900,4,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209897379
Spalovací,BAIC X35 1.5,399900,4,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209897388
Spalovací,BAIC X35 1.5,399900,4,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209897400
Spalovací,BAIC X35 1.5,384900,4500,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,T 6MT 4x2 ALL IN,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209945898
Spalovací,BAIC X35 1.5,384900,,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,2,T 6MT 4x2 ALL IN,Nové,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209949402
Spalovací,BAIC X35 1.5,384900,,2026,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,2,T 6MT 4x2 ALL IN,Nové,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209949414
Spalovací,BAIC X35 1.5,399900,,2024,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,T 6MT 4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209949471
Spalovací,BAIC X35 1.5,399900,,2026,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,ALL IN T 4×2 6MT,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209993775
Spalovací,BAIC X35 1.5,399900,,2026,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,T 6MT 4x2 ALL IN,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/210010431
