Typ,Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Tepelné čerpadlo,Spárováno,Extra,Stav,Zdroj
Spalovací,Škoda Karoq 1.5 TSI,679000,62809,2023,Benzín,1.5,TSI,,110,Automat,Ano,,ALU 18''+ zimní sada,Ne,,Sportline,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Transporter 2.0 TDI,830000,55151,2024,Nafta,2.0,TDI,,110,Automat,Ano,,,Ne,,,,,Ano,,Dostupný,Autodraft.cz
Spalovací,Seat Tarraco 1.5 TSI (5místná verze),849000,47708,2023,Benzín,2.0,TSI,,140,Automat,Ano,,ALU 19'',Ano,,,,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Golf Hatchback 2.0 TDI (Gen 8),495000,131031,2021,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 18''+ zimní sada,Ne,Variant,R-Line,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,"Škoda Kodiaq iV (Gen 2, PHEV)",827000,128729,2022,Nafta,2.0,TDI,,147,Automat,Ano,,ALU 20'',Ano,,Laurin & Klement,,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Golf Hatchback 1.5 TSI (Gen 8),457000,84874,2023,Benzín,1.5,TSI,,96,Manual,,,ALU 17'',Ne,,,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,"Škoda Kodiaq iV (Gen 2, PHEV)",952000,49056,2023,Nafta,2.0,TDI,,147,Automat,Ano,,ALU 19''+ ALU 18'',Ano,,Laurin & Klement,,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Superb 3 Combi Style 2.0 TDI,585000,121177,2023,Nafta,2.0,TDI,,147,Automat,Ano,,2x sada ALU 17'',Ne,,Style,,,Ano,Webasto,Dostupný,Autodraft.cz
Spalovací,VW Golf Hatchback 2.0 TDI (Gen 8),390000,175122,2022,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 16'',Ne,Variant,,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Superb 3 Combi Style 2.0 TDI,652000,126827,2022,Nafta,2.0,TDI,,147,Automat,Ano,,ALU 19'',Ano,Combi,Scout,,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Octavia Combi iV (PHEV),410000,156441,2022,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 16'',Ne,Combi,,,,Ano,,Dostupný,Autodraft.cz
Spalovací,"Škoda Kodiaq iV (Gen 2, PHEV)",539000,178193,2018,Nafta,2.0,TDI,,140,Automat,Ano,,ALU 19''+ zimní sada,Ano,,Sportline,,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Octavia Combi 1.5 TSI,347000,63050,2020,Nafta,1.6,TDI,,85,,,,,Ne,Combi,,,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Golf Hatchback 2.0 TDI (Gen 8),440000,138396,2022,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 17''+ zimní sada,Ne,Variant,Style,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Superb 3 Combi Style 2.0 TDI,586000,124429,2023,Nafta,2.0,TDI,,147,Automat,Ano,,ALU 19'' + ALU 17'',Ne,Combi,Style,,,Ano,,Dostupný,Autodraft.cz
Elektrické,VW ID.7 Tourer GTX 4Motion,1347000,7434,2025,Elektro,,,,250,,,,ALU 21''+ ALU 19'',Ano,,,,Ano,,Tovární záruka do 03/2030,Dostupný,Autodraft.cz
Spalovací,VW Passat B8 Variant Elegance 2.0 TDI,535000,151618,2023,Nafta,2.0,TDI,,147,Automat,Ano,,ALU 17''+ ALU 16'',Ne,Variant,R-Line,,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Passat B8 Variant Elegance 2.0 TDI,429000,198075,2023,Nafta,2.0,TDI,,110,,,,ALU 19''+ ALU 17'',Ne,Variant,R-Line,,,Ano,,Dostupný,Autodraft.cz
Spalovací,Audi A3 Hatchback 35 TFSI,462000,49118,2021,Benzín,,TFSI,,81,,,,ALU 17''+ zimní sada,Ne,Sportback,,,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Superb Combi 1.5 TSI (Gen 4),672000,62770,2022,Benzín,2.0,TSI,,140,Automat,Ano,,ALU 17''+ zimní sada,Ne,Combi,Style,,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Octavia 4 Lim. Style 1.5 TSI,626000,19717,2025,Benzín,1.5,TSI,MHEV,110,Automat,Ano,,ALU 16'',Ne,,Selection,,,Ano,,Dostupný,Autodraft.cz
